	sector	community_name	group_category	category	count	resident_count	date	year	month	id	:@computed_region_4a3i_ccfj	:@computed_region_p8tp_5dkv	:@computed_region_4b54_tmc4	:@computed_region_kxmf_bzkv	geocoded_column.latitude	geocoded_column.longitude	geocoded_column.human_address
80	SOUTH	CEDARBRAE	Crime	Theft OF Vehicle	1	6094	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-CEDARBRAE-Theft OF Vehicle-1	1	5	8	126	50.95714874318482	-114.1296160707468	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
81	CENTRE	INGLEWOOD	Crime	Residential Break & Enter	4	4024	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-INGLEWOOD-Residential Break & Enter-4	3	11	10	54	51.03414052350448	-114.01911996519493	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
82	WEST	SIGNAL HILL	Crime	Commercial Robbery	1	13395	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-SIGNAL HILL-Commercial Robbery-1	1	14	1	278	51.022860957411766	-114.17919589437479	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
83	WEST	PATTERSON	Crime	Theft OF Vehicle	2	4202	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-PATTERSON-Theft OF Vehicle-2	1	14	1	275	51.06383944197769	-114.1770500638134	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
84	CENTRE	SUNNYSIDE	Crime	Theft OF Vehicle	2	4230	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-SUNNYSIDE-Theft OF Vehicle-2	2	7	7	62	51.056419204792846	-114.07902631006927	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
85	SOUTHEAST	12A	Disorder	Social Disorder	2	0	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-12A-Social Disorder-2	3	8	4	226	50.96505334266445	-113.89321145110586	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
86	NORTHEAST	SOUTH AIRWAYS	Crime	Theft OF Vehicle	2	0	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-SOUTH AIRWAYS-Theft OF Vehicle-2	4	3	9	106	51.0742191886852	-114.0052956757618	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
87	NORTHWEST	EDGEMONT	Disorder	Physical Disorder	3	15395	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-EDGEMONT-Physical Disorder-3	2	4	2	272	51.12458784624158	-114.14395321026963	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
88	CENTRE	EAU CLAIRE	Crime	Theft FROM Vehicle	3	2030	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-EAU CLAIRE-Theft FROM Vehicle-3	1	7	7	295	51.053606993491464	-114.07282093768943	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
89	EAST	APPLEWOOD PARK	Crime	Street Robbery	1	6981	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-APPLEWOOD PARK-Street Robbery-1	3	11	12	221	51.044981778174524	-113.92785764420194	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
90	NORTH	STONEY 1	Crime	Theft FROM Vehicle	3	0	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-STONEY 1-Theft FROM Vehicle-3	4	12	11	163	51.16118788060755	-114.02469848732257	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
91	SOUTH	WOODBINE	Crime	Assault (Non-domestic)	2	8866	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-WOODBINE-Assault (Non-domestic)-2	1	6	5	43	50.939610852207664	-114.12962865374453	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
92	NORTHWEST	HAWKWOOD	Crime	Residential Break & Enter	2	9248	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-HAWKWOOD-Residential Break & Enter-2	2	10	3	248	51.13097352339733	-114.17560523215212	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
